"company_ID","company","research_and_development","donations_and_grants","sponsorships","registration_fees","travel_and_accomodation","fees","related_expenses","indeterminate","total"
41,"Novartis",16233767,1824920,5024953,278970,436488,1884683,118206,799690,26601677
13,"Bayer",2144045,45045,4836223,219414,770021,1141783,55155,257059,9468745
36,"Merck",2303382,4858408,878912,51714,160294,188476,12410,99567,8553162
10,"AstraZeneca",3622360,1960125,2360653,55398,36550,526749,5677,194072,8761583
2,"AbbVie",1044454,447530,3865735,104009,212080,175323,5994,183488,6038613
45,"Pfizer",1858318,840857,3172985,72930,215503,490372,17282,0,6668247
47,"Roche",6998109,1826290,1516696,120619,134402,899922,102169,59400,11657607
37,"MSD",1031039,873995,2345792,51992,210748,789660,63803,110000,5477029
18,"Bristol-Myers Squibb",2380849,2480955,899863,26251,98866,398711,19666,211025,6516186
31,"Janssen-Cilag",2239565,2220856,651884,6794,11156,69615,4262,69340,5273472
53,"Takeda Pharma",414092,1056678,1012339,82056,236558,312080,23137,105200,3242140
28,"Gilead",557917,672029,1161058,68428,266619,172882,15228,404066,3318227
29,"GlaxoSmithKline",176513,496046,1849406,2729,5150,187728,43586,49190,2810348
8,"Amgen",1344345,239384,1502230,106560,315247,333486,74511,25594,3941357
49,"Sanofi-Aventis",297960,277776,1233020,39822,153631,466194,66222,109180,2643805
51,"Servier",7202,461571,836211,33434,77017,684866,20290,32000,2152591
56,"Vifor",205080,147500,971684,40242,106100,245763,3789,77700,1797858
42,"Novo Nordisk",205170,727870,195207,78994,294267,270401,18638,0,1790547
23,"Eli Lilly",143504,30000,874875,186983,20871,377744,45618,30780,1710375
34,"A. Menarini",,164271,598476,27589,85902,119740,62278,,1107756
15,"Biogen",640001,120000,220006,9285,38860,610331,33155,0,1671639
3,"Actelion Pharma",1376522,703446,83844,49263,65672,83314,39321,0,2401382
21,"Daiichi Sankyo",8851,106001,592389,61773,98496,125495,4709,0,997714
19,"Celgene",570684,15739,201233,208762,277966,200490,7691,52756,1535321
9,"Astellas Pharma",103739,226348,394299,49899,125328,113160,5040,49361,1067173
11,"Baxalta",1000,33800,58484,11022,23327,12000,1563,796856,938052
38,"Mundipharma",125500,745243,0,42010,81420,55798,150,3000,1053121
20,"CSL Behring",281987,206170,407473,8436,38328,53238,42786,114370,1152788
17,"Boehringer Ingelheim",199388,58705,352145,12019,24276,250593,2468,0,899594
48,"Sandoz",6659,207255,173944,114651,94060,52760,21145,0,670474
33,"Lundbeck",4780,40259,340494,2120,2674,232858,6619,6080,635884
54,"Teva",0,227467,29827,0,175312,11179,1490,145054,590330
35,"Mepha",0,396480,0,4852,8525,130903,943,37838,579541
12,"Baxter",120000,339948,143543,7211,44053,5673,2208,0,662636
7,"Almirall",18891,0,394477,1046,19642,39048,4822,27432,505358
5,"Allergan",,7400,186170,59449,113126,44000,0,,410895
24,"Ferring",,204600,81235,15997,26329,34829,4562,,372552
46,"Pierre Fabre",0,7835,231449,25755,62955,28350,2355,0,358699
57,"Zambon",0,1500,243339,1828,14544,21200,0,16399,298810
14,"BGP Products",0,0,217590,6883,14728,0,27900,20650,287751
44,"Otsuka Pharmaceutical",0,10000,102392,6459,24176,85980,6984,8000,243991
25,"Future Health (Ipsen)",284714,10000,148973,8723,31763,39949,4156,0,528278
30,"Grünenthal",7260,800,112978,10857,20280,61366,3985,7800,225326
43,"Orion Pharma",,0,168656,9905,23947,11500,0,,214008
26,"Galderma",,12578,30292,68137,14427,61413,2047,,188894
16,"Biotest",0,5000,136004,0,6715,2600,0,0,150319
58,"LEO Pharma",5000,1599,95563,1000,2781,33601,0,13740,153284
52,"Stallergenes",4400,0,55249,17588,26799,14300,2039,0,120375
22,"Eisai Pharma",533682,0,49459,0,429,29355,16770,11838,641533
4,"Alcon",,5000,39171,0,0,40942,0,,85113
55,"UCB-Pharma",680649,0,0,0,0,0,0,50000,730649
50,"Sanofi",0,16000,1000,650,522,6500,486,17000,42158
39,"Neurim Pharmaceuticals",0,0,0,0,0,0,0,7800,7800
,"Total",48181379,25361279,41079878,2470510,5348930,12228903,1023314,4258575,139952767
